date,term,start,end,presenter,slot_min,title,rsvps,notes
2026-09-28,Term 1,12:00,12:30,Yikai Li,30,,,Only person available this week; second half open; Clashes with IFS applied seminar
2026-10-05,Term 1,12:00,13:00,Attila Lindner,60,,,
2026-10-12,Term 1,12:00,13:00,Hao Hu,60,,,
2026-10-19,Term 1,12:00,12:30,Joaquin Urria,30,,,Second half open; Clashes with IFS applied seminar
2026-10-26,Term 1,12:00,13:00,Giuseppe Forte,60,,,Clashes with IFS applied seminar
2026-11-02,Term 1,12:00,13:00,Yue Li,60,,,Clashes with IFS applied seminar
2026-11-16,Term 1,12:00,13:00,Yasuka Tateishi,60,,,Clashes with IFS applied seminar
2026-11-23,Term 1,12:00,13:00,Tianxiang Zheng,60,,,Clashes with IFS applied seminar
2026-11-30,Term 1,12:00,12:30,Chiara Giannetto,30,,,Clashes with IFS applied seminar
2026-11-30,Term 1,12:30,13:00,Pedro Cubillos,30,,,Clashes with IFS applied seminar
2026-12-07,Term 1,12:00,12:30,Jin Wang,30,,,Clashes with IFS applied seminar
2026-12-07,Term 1,12:30,13:00,Anton Reinicke,30,,,Clashes with IFS applied seminar
2026-12-14,Term 1,12:00,13:00,,,,,Clashes with IFS applied seminar
2027-03-01,Term 2,12:00,13:00,Alan Funtowicz,60,,,
2027-03-08,Term 2,12:00,13:00,Zihao Wang,60,,,
2027-03-15,Term 2,12:00,13:00,Kotaro Fujisaki,60,,,
2027-03-22,Term 2,12:00,12:30,Elena Spadini,30,,,
2027-03-22,Term 2,12:30,13:00,Tianrui (Edwin) Mu,30,,,
2027-04-26,Term 3,12:00,13:00,Martina Rocchi,60,,,
2027-05-10,Term 3,12:00,12:30,Haiming Wu,30,,,Second half open
2027-05-17,Term 3,12:00,13:00,,,,,
2027-05-24,Term 3,12:00,13:00,,,,,
2027-06-07,Term 3,12:00,13:00,,,,,
